episode,timestep,reward
76,2000,-41.3668
153,4000,-50.3346
230,6000,-38.9772
307,8000,-38.864
384,10000,-40.4577
461,12000,-40.0162
538,14000,-38.679
615,16000,-41.1016
692,18000,-37.8764
769,20000,-34.4818
846,22000,-28.0636
923,24000,-28.648
999,26000,-29.3539
1076,28000,-27.3373
1153,30000,-20.8027
1230,32000,-21.7991
1307,34000,-23.6202
1384,36000,-25.7484
1461,38000,-19.8117
1538,40000,-22.0089
1615,42000,-19.4186
1692,44000,-21.5822
1769,46000,-14.9817
1846,48000,-14.9736
1923,50000,-14.782
1999,52000,-11.8545
2076,54000,-11.1376
2153,56000,-12.4011
2230,58000,-11.9734
2307,60000,-14.2126
2384,62000,-9.8391
2461,64000,-10.2583
2538,66000,-9.5228
2615,68000,-7.6361
2692,70000,-7.4715
2769,72000,-7.4116
2846,74000,-8.5708
2923,76000,-8.7147
2999,78000,-8.2164
3076,80000,-6.9403
3153,82000,-5.5444
3230,84000,-7.1719
3307,86000,-10.0444
3384,88000,-7.3974
3461,90000,-8.1883
3538,92000,-7.3349
3615,94000,-6.6313
3692,96000,-7.1603
3769,98000,-7.0242
3846,100000,-7.0678
