episode,timestep,reward
76,2000,-35.9124
153,4000,-38.0127
230,6000,-36.3945
307,8000,-30.9137
384,10000,-29.3082
461,12000,-25.0008
538,14000,-27.9929
615,16000,-25.6548
692,18000,-23.8406
769,20000,-24.4613
846,22000,-21.5069
923,24000,-19.6399
999,26000,-20.7954
1076,28000,-15.7522
1153,30000,-17.2492
1230,32000,-19.344
1307,34000,-16.1255
1384,36000,-15.3111
1461,38000,-13.8462
1538,40000,-10.3061
1615,42000,-13.4219
1692,44000,-7.9019
1769,46000,-9.5966
1846,48000,-10.5948
1923,50000,-9.0838
1999,52000,-9.6316
2076,54000,-8.2033
2153,56000,-10.2124
2230,58000,-8.9066
2307,60000,-8.6244
2384,62000,-7.0393
2461,64000,-7.8661
2538,66000,-6.9846
2615,68000,-8.9788
2692,70000,-8.0275
2769,72000,-8.1249
2846,74000,-8.1691
2923,76000,-7.8935
2999,78000,-5.762
3076,80000,-6.4706
3153,82000,-7.7963
3230,84000,-7.7032
3307,86000,-7.3419
3384,88000,-6.7933
3461,90000,-8.3893
3538,92000,-7.2217
3615,94000,-6.8465
3692,96000,-6.9381
3769,98000,-7.5223
3846,100000,-8.0149
