episode,timestep,reward
76,2000,-35.2554
153,4000,-33.7053
230,6000,-36.3117
307,8000,-32.6473
384,10000,-35.0185
461,12000,-31.3515
538,14000,-32.9891
615,16000,-28.3624
692,18000,-32.2182
769,20000,-32.9665
846,22000,-26.6278
923,24000,-24.1284
999,26000,-19.4103
1076,28000,-22.7403
1153,30000,-17.4366
1230,32000,-17.7672
1307,34000,-13.2796
1384,36000,-18.0526
1461,38000,-15.2238
1538,40000,-11.6024
1615,42000,-11.8626
1692,44000,-12.0719
1769,46000,-10.0057
1846,48000,-10.4632
1923,50000,-9.526
1999,52000,-9.9522
2076,54000,-9.3308
2153,56000,-8.4716
2230,58000,-7.6163
2307,60000,-8.5877
2384,62000,-7.7483
2461,64000,-6.3635
2538,66000,-7.3342
2615,68000,-8.61
2692,70000,-8.1629
2769,72000,-8.5312
2846,74000,-6.525
2923,76000,-7.1785
2999,78000,-7.9086
3076,80000,-7.1887
3153,82000,-9.1651
3230,84000,-7.667
3307,86000,-7.3911
3384,88000,-8.5725
3461,90000,-7.2749
3538,92000,-7.8647
3615,94000,-5.3458
3692,96000,-8.177
3769,98000,-6.5814
3846,100000,-6.8596
3923,102000,-7.4405
3999,104000,-7.1938
4076,106000,-7.0915
4153,108000,-7.4908
4230,110000,-7.6497
4307,112000,-7.5833
4384,114000,-7.0888
4461,116000,-6.2152
4538,118000,-6.6783
4615,120000,-9.0887
4692,122000,-7.4492
4769,124000,-6.7769
4846,126000,-6.2751
4923,128000,-6.8931
4999,130000,-8.1605
5076,132000,-7.6268
5153,134000,-7.2006
5230,136000,-7.078
5307,138000,-7.6138
5384,140000,-7.4564
5461,142000,-6.7368
5538,144000,-6.8511
5615,146000,-6.297
5692,148000,-4.3578
5769,150000,-7.5066
5846,152000,-6.2837
5923,154000,-5.9117
5999,156000,-5.9665
6076,158000,-6.4269
6153,160000,-9.4506
6230,162000,-8.5394
6307,164000,-6.7652
6384,166000,-6.2429
6461,168000,-6.5171
6538,170000,-6.1581
6615,172000,-7.2616
6692,174000,-7.4223
6769,176000,-6.9561
6846,178000,-6.8391
6923,180000,-6.5402
6999,182000,-5.979
7076,184000,-7.075
7153,186000,-6.3007
7230,188000,-8.35
7307,190000,-7.147
7384,192000,-6.1415
7461,194000,-8.5059
7538,196000,-6.9877
7615,198000,-6.5226
7692,200000,-9.0048
7769,202000,-8.1991
7846,204000,-5.4729
7923,206000,-6.9524
7999,208000,-7.7591
8076,210000,-6.9368
8153,212000,-6.91
8230,214000,-7.4156
8307,216000,-6.8782
8384,218000,-6.3496
8461,220000,-6.2336
8538,222000,-7.5366
8615,224000,-5.9797
8692,226000,-7.0644
8769,228000,-7.3423
8846,230000,-6.0502
8923,232000,-8.1135
8999,234000,-6.1069
9076,236000,-7.3724
9153,238000,-6.9114
9230,240000,-6.4181
9307,242000,-6.9349
9384,244000,-6.0134
9461,246000,-4.7569
9538,248000,-6.2493
9615,250000,-6.3855
9692,252000,-6.1424
9769,254000,-7.726
9846,256000,-6.7327
9923,258000,-7.8711
9999,260000,-5.8126
10076,262000,-7.0768
10153,264000,-7.0192
10230,266000,-6.4871
10307,268000,-7.3881
10384,270000,-7.0377
10461,272000,-7.8272
10538,274000,-6.4528
10615,276000,-7.1288
10692,278000,-6.7902
10769,280000,-5.8121
10846,282000,-6.5717
10923,284000,-5.9273
10999,286000,-8.0447
11076,288000,-7.522
11153,290000,-7.2276
11230,292000,-6.6075
11307,294000,-6.2862
11384,296000,-9.6068
11461,298000,-7.1827
11538,300000,-7.7779
11615,302000,-7.5246
11692,304000,-7.8488
11769,306000,-6.9431
11846,308000,-7.8495
11923,310000,-7.2402
